Index,Dialogue,Speaker,LinkTexts,Points,NodeLinksIndexes,AdditionalParams
1,Hi there! I am Kyle and I'm gonna be the person to defend that nice woman in the next case.,Plaintiff,Okay,,2,
2,"She's really brave, you know? Yeah... Anyway. How about we grab a drink after the hearing? You seem to be a good guy, unlike our old judge.",Plaintiff,"Sure!;Sorry, I prefer to keep job and life separated.",,3;8,
3,Great! There is one more thing I'd like to discuss with you now...,Plaintiff,Go on,,4,
4,There is an evidence the plaintiff somehow managed to push through. It's a personal file of our Defendant.,Plaintiff,And?,,5,
5,"Look, it has nothing to do with the case. So if you could, you know... Pass on it, it would be really great. I'll spread the word about a new Judge... And my word is worth a lot.",Plaintiff,I'll see into that.;You come dangerously close to trying manipulating justice. See you at the hearing.,,6;7,
6,Nice! See you later.,Plaintiff,See you.,,9,
7,"Oh well, haha. You got it all wrong, I was just... asking for a little understanding. See you later, mister Justice.",Plaintiff,Just go.,,9,
8,"Oh well, haha. I totally understand that. That's... really professional. Yeah, see you later, I guess.",Plaintiff,See you.,,9,
9,"Your Honor. I see you've met Kyle... A nice young man, isn't he.",Defendant,He seems like a great guy.;He seemed a bit sleezy to me.,,10;11,
10,"He really is. Anyway, my name is Donald Stolz. See you at the hearing. I'm sure it will be just and unbiased.",Defendant,It sure will.,,19,
11,"Oh... really? Well, wait until you know him closer. Anyway... My name's Donald Stolz, I am the Company's chief attorney.",Defendant,"Nice to meet you, Donald.;I thought a man like mr. Please would prefer a personal lawyer.",,12;13,
12,"We are all hoping for a just and unbiased hearing, your Honor. Well, maybe except for Kyle.",Defendant,"See you at the hearing, mr. Stolz.",,19,
13,"A personal lawyer for a personal case, huh? You see, for David the border between his person and his company is very thin.",Defendant,Is it a good thing?,,14,
14,"Well, it is definitely good for the Company. And what's good for the Company is usually good for us, its empoyees. Anyway, there is one more fact I wanted to disclose to you.",Defendant,Go on.,,15,
15,"Will Dawson, the witness, works at our company. That you will be told about. What you won't be told about, though, is that he is dating the Plaintiff. Our policies prohibit that, so they won't confess to it... But we still know.",Defendant,"How, I wonder?",,16,
16,"We just do. When mrs. Parker decided to sue, we made a series of checks. Not the checks you could use as court evidence, alas... But still. They are dating, so if you will ask him anything about harrassment, he will be incredibly biased.",Defendant,Thank you for the advice.;What to ask or not to ask is for me to decide.,,17;18,
17,You are welcome. See you at the hearing.,Defendant,See you.,,19,
18,Sure. Just thought you'd want to be informed. See you at the hearing.,Defendant,See you.,,19,
